1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
411	1.655900	59.971362	0.130159	0.112031	1.5
412	1.950539	60.944340	0.128614	0.177523	1.4
413	1.684205	61.618606	0.127564	0.142318	1.9
414	1.622549	61.827545	0.127243	0.162637	1.8
415	1.601299	62.570210	0.126112	0.078388	1.8
416	2.228051	62.623602	0.126031	0.118393	1.7
417	1.719330	62.993496	0.125476	0.242234	1.4
418	1.753868	62.728472	0.125873	0.116133	1.4
419	1.907302	62.452534	0.126290	0.146793	1.5
420	1.794189	63.014366	0.125445	0.192952	1.4
421	1.954959	63.993567	0.124000	0.110368	1.4
422	1.837148	64.124343	0.123809	0.242578	1.4
423	1.834827	64.735480	0.122927	0.179877	1.5
424	1.573686	64.461659	0.123321	0.087117	1.5
425	1.697990	65.320260	0.122094	0.231349	1.4
426	1.725206	65.153397	0.122331	0.121162	1.4
427	1.772121	65.991533	0.121152	0.139701	1.5
428	1.701056	65.803145	0.121415	0.104161	1.4
429	2.065294	65.536785	0.121789	0.067169	1.6
430	1.973260	65.605304	0.121692	0.190402	1.5
431	1.896566	65.433249	0.121934	0.073043	1.4
432	1.722016	65.199826	0.122265	0.112705	1.4
433	1.866520	65.206865	0.122255	0.153971	1.4
434	1.714117	65.071207	0.122447	0.070618	1.5
435	1.756413	65.276202	0.122156	0.117255	1.5
436	1.793489	65.258483	0.122182	0.183469	1.5
437	1.670694	65.057087	0.122467	0.122800	1.5
438	1.928433	66.036852	0.121089	0.130315	2.3
439	2.022525	66.525798	0.120412	0.165545	1.5
440	1.811477	66.278090	0.120754	0.043726	1.4
441	1.818694	66.289754	0.120738	0.064428	1.5
442	1.984211	66.288428	0.120740	0.151547	1.4
443	2.084666	66.712390	0.120156	0.121988	1.4
444	1.703324	66.503488	0.120443	0.175539	1.4
445	2.108345	67.262571	0.119407	0.126040	1.5
446	1.843201	66.996424	0.119768	0.109162	1.4
447	1.752974	67.289817	0.119370	0.113056	1.4
448	1.982493	67.173000	0.119529	0.199658	1.4
449	1.894110	68.021063	0.118390	0.089914	1.6
450	2.059390	67.748355	0.118754	0.156561	1.4
451	1.960090	68.379050	0.117916	0.076864	1.4
452	1.818654	69.076607	0.117003	0.139708	1.5
453	1.802205	69.612925	0.116310	0.132382	1.5
454	1.916661	69.345180	0.116655	0.155199	1.4
455	1.468734	70.216206	0.115541	0.121116	1.4
456	1.931085	69.948293	0.115881	0.081979	1.5
457	2.024832	69.844272	0.116014	0.234310	1.4
458	1.815290	70.042841	0.115761	0.190117	1.4
459	1.921936	70.882210	0.114703	0.082104	1.4
460	1.747653	70.865350	0.114724	0.052680	1.7
461	1.804873	70.719544	0.114907	0.117410	1.4
462	2.135589	70.921191	0.114655	0.083081	1.4
463	1.976399	71.642223	0.113762	0.080142	2.0
464	1.833570	71.488474	0.113951	0.173168	2.2
465	1.819854	72.178799	0.113107	0.085081	2.2
466	1.672983	72.883131	0.112259	0.070803	2.3
467	1.866070	73.140216	0.111952	0.075679	2.0
468	1.784446	73.319371	0.111739	0.103415	2.3
469	1.779626	73.648564	0.111351	0.062236	2.6
470	1.606737	73.777436	0.111199	0.068935	2.7
471	1.866914	73.654813	0.111343	0.148878	3.5
472	1.750196	73.457260	0.111576	0.122941	1.9
473	1.694280	73.568483	0.111445	0.071161	2.8
474	1.780249	73.397503	0.111647	0.174801	2.2
475	1.871696	74.046667	0.110884	0.094664	2.5
476	1.611614	73.909513	0.111045	0.177677	1.4
477	1.791466	73.637209	0.111364	0.101188	1.4
478	1.718606	74.102370	0.110819	0.067701	1.8
479	1.625436	73.903569	0.111052	0.062316	1.5
480	1.718854	73.852117	0.111112	0.124097	1.4
481	1.980881	73.760720	0.111219	0.098195	1.5
482	1.818799	74.440212	0.110427	0.150809	2.2
483	1.639948	74.176040	0.110734	0.127583	1.6
484	1.414310	74.203105	0.110702	0.060689	1.5
485	1.953146	74.073166	0.110853	0.188491	1.6
486	1.800176	74.121566	0.110797	0.102868	1.4
487	1.701265	73.879171	0.111080	0.164736	1.4
488	1.696512	74.411687	0.110460	0.120578	1.4
489	1.538451	74.173293	0.110737	0.141418	1.4
490	1.952922	73.900508	0.111055	0.152621	1.4
491	2.129097	73.765305	0.111214	0.102910	1.4
492	1.814187	74.646334	0.110189	0.063724	1.6
493	2.000284	74.602372	0.110240	0.100305	1.4
494	1.846842	74.572106	0.110275	0.106449	1.5
495	1.870544	74.729652	0.110093	0.164852	1.8
496	1.651573	74.467839	0.110395	0.131315	2.2
497	1.943208	74.204218	0.110701	0.161473	1.6
498	1.739111	74.985981	0.109799	0.066564	1.4
499	1.903814	74.986283	0.109799	0.176429	1.6
500	1.730352	75.632613	0.109065	0.145400	1.4
501	1.548058	75.442552	0.109279	0.122459	1.4
502	1.684030	75.609452	0.109091	0.033439	1.6
503	1.843715	75.487105	0.109229	0.102812	1.6
504	1.742867	75.528835	0.109182	0.099834	1.4
505	1.753844	75.751323	0.108931	0.213368	1.5
506	1.795681	75.477412	0.109240	0.116408	1.4
507	1.818577	75.205409	0.109549	0.137925	1.5
508	2.087217	75.721605	0.108964	0.143456	1.4
509	1.954629	76.320611	0.108294	0.230858	1.4
510	2.041225	77.210424	0.107312	0.225098	1.5
511	1.524971	78.145619	0.106300	0.196125	1.4
512	2.013649	79.144269	0.105240	0.237519	1.4
513	2.375895	78.867363	0.105532	0.277203	1.4
514	1.955572	79.867200	0.104486	0.048679	1.4
515	1.841769	79.634487	0.104727	0.117782	1.4
516	1.964209	79.461090	0.104908	0.084520	1.4
517	1.871986	79.399890	0.104972	0.187066	1.4
518	2.008493	79.257779	0.105121	0.145863	1.5
519	1.468885	79.453680	0.104916	0.167720	1.4
520	1.656214	80.354879	0.103983	0.091312	1.4
521	1.805432	81.101191	0.103223	0.125453	1.4
522	1.851192	81.198818	0.103124	0.088699	1.5
523	1.626269	81.176495	0.103147	0.092236	1.4
524	1.806625	81.092511	0.103232	0.164138	1.4
525	1.840778	80.825030	0.103503	0.076989	1.4
526	1.904825	80.575391	0.103757	0.166815	1.5
527	1.867052	80.317665	0.104021	0.061013	1.4
